omap,0,0,1,1,300,512,10,1,0,4936667.770000,426274.400000,0.000000,4937563.570000,432810.560000,1441.170000,654748.000000,0.000000,0.993791
omap,0,0,1,1,300,1024,11,1,0,5979178.710000,583128.000000,0.000000,6077004.170000,587656.320000,1957.450000,666604.000000,0.000000,1.212993
omap,0,0,1,1,300,32768,16,1,0,15570419.660000,1512800.640000,0.000000,15317321.270000,1640590.400000,5467.160000,626222.000000,0.000000,3.551988
omap,0,0,1,1,300,65536,17,1,0,18033931.690000,1732894.080000,0.000000,18048246.920000,1893521.280000,6310.190000,662764.000000,0.000000,4.610442
test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,insert,insert_bytes,load_data,search,search_bytes,search_false_pos,setup,setup_bytes,total_time
omap,0,0,1,1,300,512,10,1,0,5382059.750000,428752.160000,0.000000,5212613.480000,431642.880000,1437.320000,1396928.000000,0.000000,1.168299
test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,insert,insert_bytes,load_data,search,search_bytes,search_false_pos,setup,setup_bytes,total_time
omap,0,0,1,1,300,1024,11,1,0,6785462.300000,580322.720000,0.000000,6457457.650000,585178.560000,1949.220000,706631.000000,0.000000,1.331275
test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,insert,insert_bytes,load_data,search,search_bytes,search_false_pos,setup,setup_bytes,total_time
omap,0,0,1,1,300,32768,16,1,0,15636356.030000,1507973.280000,0.000000,15693219.840000,1644720.000000,5480.880000,606322.000000,0.000000,3.207124
test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,insert,insert_bytes,load_data,search,search_bytes,search_false_pos,setup,setup_bytes,total_time
omap,0,0,1,1,300,65536,17,1,0,18227768.200000,1723951.360000,0.000000,18190526.550000,1894831.360000,6314.580000,614894.000000,0.000000,3.847328
test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,insert,insert_bytes,load_data,search,search_bytes,search_false_pos,setup,setup_bytes,total_time
omap,0,0,1,1,300,1024,11,1,0,0.007369,576107.680000,0.000000,0.006875,586944.320000,1955.090000,0.001527,0.000000,1.532473
test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,insert,insert_bytes,load_data,search,search_bytes,search_false_pos,setup,setup_bytes,total_time
omap,0,0,1,1,300,65536,17,1,0,0.020117,1735343.360000,0.000000,0.019980,1898590.720000,6327.100000,0.000736,0.000000,4.218716
