test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,append,append_bytes,insert,insert_bytes,setup,setup_bytes,vl,total_time
ofs-update,0,0,0,1,32,1048576,3,2,16,0.551194,4148896.000000,0.546031,2755808.000000,0,0,16.000000,107.749324
ofs-update,0,0,0,1,32,1048576,3,2,128,0.688135,41243040.000000,0.627499,4407616.000000,0,0,128.000000,107.749324
ofs-update,0,0,0,1,32,1048576,3,2,1024,0.623987,75801568.000000,0.415601,38477024.000000,0,0,1024.000000,107.749324
ofs-update,0,0,0,1,32,1048576,3,2,4096,0.598157,75778048.000000,0.421482,38479904.000000,0,0,4096.000000,107.749324
ofs-update,0,0,0,1,32,8388608,3,2,0,0,0,0,0,697.084953,9415240320.000000,0,705.070237
ofs-update,0,0,0,1,32,8388608,3,2,16,0.688442,6782944.000000,0.603803,4344992.000000,0,0,16.000000,705.070237
ofs-update,0,0,0,1,32,8388608,3,2,128,0.951999,9582336.000000,0.610649,4350272.000000,0,0,128.000000,705.070237
ofs-update,0,0,0,1,32,8388608,3,2,1024,1.535680,338855552.000000,0.948453,170231776.000000,0,0,1024.000000,705.070237
ofs-update,0,0,0,1,32,8388608,3,2,4096,1.703645,338851232.000000,0.938372,170243296.000000,0,0,4096.000000,705.070237
ofs-update,0,0,0,1,32,32,3,2,0,0,0,0,0,0.011616,14880.000000,0,0.029737
ofs-update,0,0,0,1,32,32,3,2,16,0.008297,30976.000000,0.008173,26528.000000,0,0,16.000000,0.029737
ofs-update,0,0,0,1,32,256,3,2,0,0,0,0,0,0.027738,122400.000000,0,0.127424
ofs-update,0,0,0,1,32,256,3,2,16,0.024029,129280.000000,0.024213,116480.000000,0,0,16.000000,0.127424
ofs-update,0,0,0,1,32,256,3,2,128,0.024888,133600.000000,0.024928,130240.000000,0,0,128.000000,0.127424
ofs-update,0,0,0,1,4096,2048,3,2,0,0,0,0,0,0.507934,68078160.000000,0,1.474106
ofs-update,0,0,0,1,4096,2048,3,2,16,0.233850,25860960.000000,0.181936,9132864.000000,0,0,16.000000,1.474106
ofs-update,0,0,0,1,4096,2048,3,2,128,0.141796,17100576.000000,0.116701,8676288.000000,0,0,128.000000,1.474106
ofs-update,0,0,0,1,4096,2048,3,2,1024,0.143299,17102016.000000,0.145966,17090976.000000,0,0,1024.000000,1.474106
ofs-update,0,0,0,1,4096,16384,3,2,0,0,0,0,0,3.526198,545732688.000000,0,8.593468
ofs-update,0,0,0,1,4096,16384,3,2,16,0.461466,33223680.000000,0.204356,11417280.000000,0,0,16.000000,8.593468
ofs-update,0,0,0,1,4096,16384,3,2,128,0.745781,135222560.000000,0.600010,67841920.000000,0,0,128.000000,8.593468
ofs-update,0,0,0,1,4096,16384,3,2,1024,0.736783,135208160.000000,0.757971,135221600.000000,0,0,1024.000000,8.593468
ofs-update,0,0,0,1,4096,16384,3,2,4096,0.748663,135236000.000000,0.807163,135225440.000000,0,0,4096.000000,8.593468
ofs-update,0,0,0,1,4096,131072,3,2,0,0,0,0,0,50.374191,8603264640.000000,0,83.009015
ofs-update,0,0,0,1,4096,131072,3,2,16,0.502312,52464480.000000,0.351689,26682720.000000,0,0,16.000000,83.009015
ofs-update,0,0,0,1,4096,131072,3,2,128,5.193197,1615367808.000000,2.888030,808088064.000000,0,0,128.000000,83.009015
ofs-update,0,0,0,1,4096,131072,3,2,1024,5.065710,1615383168.000000,2.616838,808077024.000000,0,0,1024.000000,83.009015
ofs-update,0,0,0,1,4096,131072,3,2,4096,9.928112,2154327744.000000,6.084649,1615407648.000000,0,0,4096.000000,83.009015
ofs-update,0,0,0,1,4096,32,3,2,0,0,0,0,0,0.010771,14880.000000,0,0.029432
ofs-update,0,0,0,1,4096,32,3,2,16,0.008489,286752.000000,0.008681,157056.000000,0,0,16.000000,0.029432
ofs-update,0,0,0,1,4096,256,3,2,0,0,0,0,0,0.077235,8425296.000000,0,0.212286
ofs-update,0,0,0,1,4096,256,3,2,16,0.032078,2211488.000000,0.031217,1154464.000000,0,0,16.000000,0.212286
ofs-update,0,0,0,1,4096,256,3,2,128,0.033168,2211008.000000,0.036105,2213888.000000,0,0,128.000000,0.212286
ofs-update,0,1,0,1,128,2048,3,2,0,0,0,0,0,0.204335,3320400.000000,0,0.762747
ofs-update,0,1,0,1,128,2048,3,2,16,0.189917,1510848.000000,0.158446,994880.000000,0,0,16.000000,0.762747
ofs-update,0,1,0,1,128,2048,3,2,128,0.052068,839008.000000,0.051704,554144.000000,0,0,128.000000,0.762747
ofs-update,0,1,0,1,128,2048,3,2,1024,0.051340,845728.000000,0.052164,840928.000000,0,0,1024.000000,0.762747
ofs-update,0,1,0,1,128,16384,3,2,0,0,0,0,0,1.397236,26146896.000000,0,2.571768
ofs-update,0,1,0,1,128,16384,3,2,16,0.329708,2729280.000000,0.179778,1276000.000000,0,0,16.000000,2.571768
ofs-update,0,1,0,1,128,16384,3,2,128,0.112500,5209696.000000,0.097152,2836448.000000,0,0,128.000000,2.571768
ofs-update,0,1,0,1,128,16384,3,2,1024,0.116114,5198656.000000,0.122325,5205856.000000,0,0,1024.000000,2.571768
ofs-update,0,1,0,1,128,16384,3,2,4096,0.103601,5205376.000000,0.109382,5192416.000000,0,0,4096.000000,2.571768
ofs-update,0,1,0,1,128,131072,3,2,0,0,0,0,0,10.467398,347793024.000000,0,13.454263
ofs-update,0,1,0,1,128,131072,3,2,16,0.383391,3704256.000000,0.280553,2308608.000000,0,0,16.000000,13.454263
ofs-update,0,1,0,1,128,131072,3,2,128,0.394133,55092000.000000,0.287251,27953760.000000,0,0,128.000000,13.454263
ofs-update,0,1,0,1,128,131072,3,2,1024,0.412634,55108320.000000,0.266756,27944640.000000,0,0,1024.000000,13.454263
ofs-update,0,1,0,1,128,131072,3,2,4096,0.534193,73944800.000000,0.418409,55120320.000000,0,0,4096.000000,13.454263
ofs-update,0,1,0,1,128,1048576,3,2,0,0,0,0,0,93.699721,2783695488.000000,0,100.218092
ofs-update,0,1,0,1,128,1048576,3,2,16,0.581087,6897088.000000,0.501757,4150304.000000,0,0,16.000000,100.218092
ofs-update,0,1,0,1,128,1048576,3,2,128,0.931512,132101856.000000,0.637039,7131328.000000,0,0,128.000000,100.218092
ofs-update,0,1,0,1,128,1048576,3,2,1024,1.162915,251948896.000000,0.752803,126553088.000000,0,0,1024.000000,100.218092
ofs-update,0,1,0,1,128,1048576,3,2,4096,1.157956,251939296.000000,0.753254,126565088.000000,0,0,4096.000000,100.218092
