test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,append,append_bytes,insert,insert_bytes,setup,setup_bytes,vl,total_time
ofs-update,0,0,0,1,128,2048,3,2,0,0,0,0,0,0.101207,3320400.000000,0,2.429075
ofs-update,0,0,0,1,128,2048,3,2,16,0.063788,1340480.000000,0.056627,669120.000000,0,0,16.000000,2.429075
ofs-update,0,0,0,1,128,2048,3,2,128,0.025122,829888.000000,0.024158,505664.000000,0,0,128.000000,2.429075
ofs-update,0,0,0,1,128,2048,3,2,1024,0.025745,836368.000000,0.025201,813328.000000,0,0,1024.000000,2.429075
ofs-update,0,0,0,1,128,16384,3,2,0,0,0,0,0,0.376666,26146896.000000,0,7.733767
ofs-update,0,0,0,1,128,16384,3,2,16,0.129562,2050502.400000,0.038364,732096.000000,0,0,16.000000,7.733767
ofs-update,0,0,0,1,128,16384,3,2,128,0.056752,5122336.000000,0.049263,2711120.000000,0,0,128.000000,7.733767
ofs-update,0,0,0,1,128,16384,3,2,1024,0.056643,5133136.000000,0.056676,5095504.000000,0,0,1024.000000,7.733767
ofs-update,0,0,0,1,128,16384,3,2,4096,0.054811,5137120.000000,0.056099,5107456.000000,0,0,4096.000000,7.733767
ofs-update,0,0,0,1,128,131072,3,2,0,0,0,0,0,2.910842,347793024.000000,0,51.835247
ofs-update,0,0,0,1,128,131072,3,2,16,0.119698,2665827.200000,0.050127,1306016.000000,0,0,16.000000,51.835247
ofs-update,0,0,0,1,128,131072,3,2,128,0.208638,45804800.000000,0.116615,18621440.000000,0,0,128.000000,51.835247
ofs-update,0,0,0,1,128,131072,3,2,1024,0.211908,48953584.000000,0.119381,21352448.000000,0,0,1024.000000,51.835247
ofs-update,0,0,0,1,128,131072,3,2,4096,0.351753,71376160.000000,0.206898,41752352.000000,0,0,4096.000000,51.835247
ofs-update,0,0,0,1,128,1048576,3,2,0,0,0,0,0,40.247959,2783695488.000000,0,302.444845
ofs-update,0,0,0,1,128,1048576,3,2,16,0.166968,4837193.600000,0.070865,2302208.000000,0,0,16.000000,302.444845
ofs-update,0,0,0,1,128,1048576,3,2,128,0.580257,97916944.000000,0.165076,4533536.000000,0,0,128.000000,302.444845
ofs-update,0,0,0,1,128,1048576,3,2,1024,0.715833,210312604.800000,0.374733,81408816.000000,0,0,1024.000000,302.444845
ofs-update,0,0,0,1,128,1048576,3,2,4096,0.778238,215680800.000000,0.371709,85024268.800000,0,0,4096.000000,302.444845
ofs-update,0,0,0,1,128,8388608,3,2,0,0,0,0,0,345.430378,22274878080.000000,0,1884.766051
ofs-update,0,0,0,1,128,8388608,3,2,16,0.233466,8318128.000000,0.102822,4135200.000000,0,0,16.000000,1884.766051
ofs-update,0,0,0,1,128,8388608,3,2,128,0.327472,12708928.000000,0.145202,4757360.000000,0,0,128.000000,1884.766051
ofs-update,0,0,0,1,128,8388608,3,2,1024,4.371430,822296864.000000,2.321047,358094272.000000,0,0,1024.000000,1884.766051
ofs-update,0,0,0,1,128,8388608,3,2,4096,4.739181,915018496.000000,2.264985,415192400.000000,0,0,4096.000000,1884.766051
ofs-update,0,0,0,1,128,32,3,2,0,0,0,0,0,0.003726,14880.000000,0,0.123414
ofs-update,0,0,0,1,128,32,3,2,16,0.005668,35680.000000,0.003620,23744.000000,0,0,16.000000,0.123414
ofs-update,0,0,0,1,128,256,3,2,0,0,0,0,0,0.022095,425808.000000,0,0.774004
ofs-update,0,0,0,1,128,256,3,2,16,0.018498,174304.000000,0.011445,104720.000000,0,0,16.000000,0.774004
ofs-update,0,0,0,1,128,256,3,2,128,0.017408,176320.000000,0.017701,169312.000000,0,0,128.000000,0.774004
ofs-update,0,0,0,1,32,2048,3,2,0,0,0,0,0,0.078987,1753680.000000,0,2.410008
ofs-update,0,0,0,1,32,2048,3,2,16,0.062138,813148.800000,0.057314,545382.400000,0,0,16.000000,2.410008
ofs-update,0,0,0,1,32,2048,3,2,128,0.024491,439024.000000,0.023193,308240.000000,0,0,128.000000,2.410008
ofs-update,0,0,0,1,32,2048,3,2,1024,0.024068,441376.000000,0.023918,423856.000000,0,0,1024.000000,2.410008
ofs-update,0,0,0,1,32,16384,3,2,0,0,0,0,0,0.338507,13576272.000000,0,6.174302
ofs-update,0,0,0,1,32,16384,3,2,16,0.140525,1568969.600000,0.040756,589392.000000,0,0,16.000000,6.174302
ofs-update,0,0,0,1,32,16384,3,2,128,0.045700,1984672.000000,0.038252,1135232.000000,0,0,128.000000,6.174302
ofs-update,0,0,0,1,32,16384,3,2,1024,0.044870,1987312.000000,0.043089,1949296.000000,0,0,1024.000000,6.174302
ofs-update,0,0,0,1,32,16384,3,2,4096,0.046355,1991392.000000,0.042941,1963408.000000,0,0,4096.000000,6.174302
ofs-update,0,0,0,1,32,131072,3,2,0,0,0,0,0,2.057587,106746960.000000,0,24.082506
ofs-update,0,0,0,1,32,131072,3,2,16,0.112402,1774764.800000,0.048137,971696.000000,0,0,16.000000,24.082506
ofs-update,0,0,0,1,32,131072,3,2,128,0.102738,13175104.000000,0.088627,6817136.000000,0,0,128.000000,24.082506
ofs-update,0,0,0,1,32,131072,3,2,1024,0.100274,13187104.000000,0.102736,13132864.000000,0,0,1024.000000,24.082506
ofs-update,0,0,0,1,32,131072,3,2,4096,0.105146,13184128.000000,0.098525,13154896.000000,0,0,4096.000000,24.082506
ofs-update,0,0,0,1,32,1048576,3,2,0,0,0,0,0,16.642895,1179423360.000000,0,176.261848
ofs-update,0,0,0,1,32,1048576,3,2,16,0.161998,2926316.800000,0.071506,1513952.000000,0,0,16.000000,176.261848
ofs-update,0,0,0,1,32,1048576,3,2,128,0.269492,29488460.800000,0.168413,2868547.200000,0,0,128.000000,176.261848
ofs-update,0,0,0,1,32,1048576,3,2,1024,0.294609,59427568.000000,0.168210,24775776.000000,0,0,1024.000000,176.261848
ofs-update,0,0,0,1,32,1048576,3,2,4096,0.298705,64695552.000000,0.173623,26930892.800000,0,0,4096.000000,176.261848
ofs-update,0,0,0,1,32,8388608,3,2,0,0,0,0,0,176.943403,9415240320.000000,0,989.940930
ofs-update,0,0,0,1,32,8388608,3,2,16,0.274570,4460707.200000,0.088748,2364720.000000,0,0,16.000000,989.940930
ofs-update,0,0,0,1,32,8388608,3,2,128,0.316444,6431577.600000,0.183376,2685091.200000,0,0,128.000000,989.940930
ofs-update,0,0,0,1,32,8388608,3,2,1024,1.060391,251860652.800000,0.511170,106444960.000000,0,0,1024.000000,989.940930
ofs-update,0,0,0,1,32,8388608,3,2,4096,1.002540,262387164.800000,0.590309,114885052.800000,0,0,4096.000000,989.940930
ofs-update,0,0,0,1,32,32,3,2,0,0,0,0,0,0.003524,14880.000000,0,0.107773
ofs-update,0,0,0,1,32,32,3,2,16,0.005183,28480.000000,0.003531,20864.000000,0,0,16.000000,0.107773
ofs-update,0,0,0,1,32,256,3,2,0,0,0,0,0,0.010273,122400.000000,0,0.351190
ofs-update,0,0,0,1,32,256,3,2,16,0.013975,129232.000000,0.008404,78416.000000,0,0,16.000000,0.351190
ofs-update,0,0,0,1,32,256,3,2,128,0.013177,126208.000000,0.013725,122464.000000,0,0,128.000000,0.351190
ofs-update,0,0,0,1,4096,2048,3,2,0,0,0,0,0,0.291174,68078160.000000,0,11.662147
ofs-update,0,0,0,1,4096,2048,3,2,16,0.172819,23587459.200000,0.065807,5998992.000000,0,0,16.000000,11.662147
ofs-update,0,0,0,1,4096,2048,3,2,128,0.118368,17078688.000000,0.090160,8631552.000000,0,0,128.000000,11.662147
ofs-update,0,0,0,1,4096,2048,3,2,1024,0.122000,17085744.000000,0.128224,17071968.000000,0,0,1024.000000,11.662147
ofs-update,0,0,0,1,4096,16384,3,2,0,0,0,0,0,3.819994,545732688.000000,0,83.287871
ofs-update,0,0,0,1,4096,16384,3,2,16,0.222166,23202604.800000,0.052432,6827952.000000,0,0,16.000000,83.287871
ofs-update,0,0,0,1,4096,16384,3,2,128,0.928521,135154352.000000,0.635611,67719088.000000,0,0,128.000000,83.287871
ofs-update,0,0,0,1,4096,16384,3,2,1024,0.914249,135157664.000000,0.952797,135115280.000000,0,0,1024.000000,83.287871
ofs-update,0,0,0,1,4096,16384,3,2,4096,0.921070,135161120.000000,0.915437,135130880.000000,0,0,4096.000000,83.287871
ofs-update,0,0,0,1,4096,131072,3,2,0,0,0,0,0,94.863994,8603264640.000000,0,747.397964
ofs-update,0,0,0,1,4096,131072,3,2,16,0.243774,33894528.000000,0.104197,15524640.000000,0,0,16.000000,747.397964
ofs-update,0,0,0,1,4096,131072,3,2,128,6.915357,1372942684.800000,3.015141,538716864.000000,0,0,128.000000,747.397964
ofs-update,0,0,0,1,4096,131072,3,2,1024,6.899323,1386401587.200000,3.457320,579123139.200000,0,0,1024.000000,747.397964
ofs-update,0,0,0,1,4096,131072,3,2,4096,12.443559,2046402940.800000,6.695479,1332561945.600000,0,0,4096.000000,747.397964
ofs-update,0,0,0,1,4096,32,3,2,0,0,0,0,0,0.004581,14880.000000,0,0.469079
ofs-update,0,0,0,1,4096,32,3,2,16,0.008149,288624.000000,0.006023,150672.000000,0,0,16.000000,0.469079
ofs-update,0,0,0,1,4096,256,3,2,0,0,0,0,0,0.063711,8425296.000000,0,2.273173
ofs-update,0,0,0,1,4096,256,3,2,16,0.030536,2212928.000000,0.022044,1123024.000000,0,0,16.000000,2.273173
ofs-update,0,0,0,1,4096,256,3,2,128,0.028892,2208800.000000,0.031944,2205920.000000,0,0,128.000000,2.273173
ofs-update,0,1,0,1,128,2048,3,2,0,0,0,0,0,0.108950,3320400.000000,0,2.188298
ofs-update,0,1,0,1,128,2048,3,2,16,0.069226,1351600.000000,0.058050,653696.000000,0,0,16.000000,2.188298
ofs-update,0,1,0,1,128,2048,3,2,128,0.027966,830080.000000,0.024584,502256.000000,0,0,128.000000,2.188298
ofs-update,0,1,0,1,128,2048,3,2,1024,0.028288,831280.000000,0.027519,816160.000000,0,0,1024.000000,2.188298
ofs-update,0,1,0,1,128,16384,3,2,0,0,0,0,0,0.371102,26146896.000000,0,6.119603
ofs-update,0,1,0,1,128,16384,3,2,16,0.128978,2065555.200000,0.039555,731808.000000,0,0,16.000000,6.119603
ofs-update,0,1,0,1,128,16384,3,2,128,0.054885,5123536.000000,0.047822,2711024.000000,0,0,128.000000,6.119603
ofs-update,0,1,0,1,128,16384,3,2,1024,0.052061,5132080.000000,0.053688,5098624.000000,0,0,1024.000000,6.119603
ofs-update,0,1,0,1,128,16384,3,2,4096,0.054983,5138080.000000,0.054843,5106640.000000,0,0,4096.000000,6.119603
ofs-update,0,1,0,1,128,131072,3,2,0,0,0,0,0,3.064033,347793024.000000,0,46.631293
ofs-update,0,1,0,1,128,131072,3,2,16,0.138496,2663619.200000,0.058965,1305152.000000,0,0,16.000000,46.631293
ofs-update,0,1,0,1,128,131072,3,2,128,0.221228,46693392.000000,0.124171,18621248.000000,0,0,128.000000,46.631293
ofs-update,0,1,0,1,128,131072,3,2,1024,0.227056,49388832.000000,0.128868,18678224.000000,0,0,1024.000000,46.631293
ofs-update,0,1,0,1,128,131072,3,2,4096,0.365318,70494336.000000,0.226410,44879296.000000,0,0,4096.000000,46.631293
ofs-update,0,1,0,1,128,1048576,3,2,0,0,0,0,0,38.601112,2783695488.000000,0,268.127124
ofs-update,0,1,0,1,128,1048576,3,2,16,0.161953,4734150.400000,0.067696,2304896.000000,0,0,16.000000,268.127124
ofs-update,0,1,0,1,128,1048576,3,2,128,0.477518,99616899.200000,0.155745,4645126.400000,0,0,128.000000,268.127124
ofs-update,0,1,0,1,128,1048576,3,2,1024,0.701078,203186147.200000,0.362418,81411600.000000,0,0,1024.000000,268.127124
ofs-update,0,1,0,1,128,1048576,3,2,4096,0.696566,197867968.000000,0.363150,88593929.600000,0,0,4096.000000,268.127124
ofs-update,0,1,0,1,128,8388608,3,2,0,0,0,0,0,264.576850,22274878080.000000,0,1453.218166
