test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,append,append_bytes,insert,insert_bytes,setup,setup_bytes,vl,total_time
ofs-update,0,0,1,1,128,8388608,3,2,0,0,0,0,0,864.185983,22274878080.000000,0,879.013852
ofs-update,0,0,1,1,128,8388608,3,2,16,1.025848,13070560.000000,0.800915,7506080.000000,0,0,16.000000,879.013852
ofs-update,0,0,1,1,128,8388608,3,2,128,1.246906,19025280.000000,0.764507,7492160.000000,0,0,128.000000,879.013852
ofs-update,0,0,1,1,128,8388608,3,2,1024,3.523565,1144164320.000000,2.000282,572914240.000000,0,0,1024.000000,879.013852
ofs-update,0,0,1,1,128,8388608,3,2,4096,3.461598,1144173920.000000,1.998121,572919040.000000,0,0,4096.000000,879.013852
