test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,append,append_bytes,insert,insert_bytes,setup,setup_bytes,vl,total_time
ofs-update,0,1,1,1,32,16384,3,2,0,0,0,0,0,1.730387,13576272.000000,0,3.049062
ofs-update,0,1,1,1,32,16384,3,2,16,0.382647,1989120.000000,0.237271,1014400.000000,0,0,16.000000,3.049062
ofs-update,0,1,1,1,32,16384,3,2,128,0.110708,2045728.000000,0.121280,1275584.000000,0,0,128.000000,3.049062
ofs-update,0,1,1,1,32,16384,3,2,1024,0.127258,2057248.000000,0.118846,2063008.000000,0,0,1024.000000,3.049062
ofs-update,0,1,1,1,32,16384,3,2,4096,0.107711,2058208.000000,0.107646,2049568.000000,0,0,4096.000000,3.049062
