test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,append,append_bytes,insert,insert_bytes,setup,setup_bytes,vl,total_time
ofs-update,0,0,1,1,4096,1048576,3,2,0,0,0,0,0,282.704037,69093610112.000000,0,354.436895
ofs-update,0,0,1,1,4096,1048576,3,2,16,0.881502,120684864.000000,0.645484,61039872.000000,0,0,16.000000,354.436895
ofs-update,0,0,1,1,4096,1048576,3,2,128,10.357650,3886505664.000000,1.076844,120914304.000000,0,0,128.000000,354.436895
ofs-update,0,0,1,1,4096,1048576,3,2,1024,19.134219,7533265440.000000,9.926194,3767209920.000000,0,0,1024.000000,354.436895
ofs-update,0,0,1,1,4096,1048576,3,2,4096,19.731129,7533254880.000000,9.974339,3767203680.000000,0,0,4096.000000,354.436895
