test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,vl,ins,sea,del,total_time
ofs,0,0,1,1,64,1024,11,1,1024,0.00524439,0.0112247,0.0166244,6.31004
ofs,0,0,1,1,64,1024,3,8,1024,0.0872023,0.175869,0.0827479,0.370165
omap,0,0,1,1,64,1024,11,1,1024,0.0516821,0.088513,0.0847849,0.226843
ofs,0,0,1,1,64,32768,16,1,1024,0.0185295,0.0227909,0.0373986,1.5723
ofs,0,0,1,1,64,32768,16,1,2048,0.0371941,0.0270496,0.0489389,1.5723
ofs,0,0,1,1,64,32768,16,1,4096,0.0475629,0.0275042,0.0518791,1.5723
ofs,0,0,1,1,64,32768,16,1,8192,0.0414109,0.0291398,0.0493156,1.5723
ofs,0,0,1,1,64,32768,16,1,16384,0.0435172,0.0464673,0.0482305,1.5723
ofs,0,0,1,1,64,32768,16,1,32768,0.0788158,0.101059,0.0647648,1.5723
ofs,0,0,1,1,64,32768,4,8,1024,0.119639,0.24451,0.151463,4.7729
ofs,0,0,1,1,64,32768,4,8,2048,0.247619,0.459874,0.224582,4.7729
ofs,0,0,1,1,64,32768,4,8,4096,0.0678283,0.102385,0.0781228,4.7729
ofs,0,0,1,1,64,32768,4,8,8192,0.116325,0.181949,0.10543,4.7729
ofs,0,0,1,1,64,32768,4,8,16384,0.237499,0.324928,0.199165,4.7729
ofs,0,0,1,1,64,32768,4,8,32768,0.415686,0.649316,0.413677,4.7729
omap,0,0,1,1,64,32768,16,1,1024,0.510301,2.50042,2.65109,54.6894
omap,0,0,1,1,64,32768,16,1,2048,2.36962,2.83117,2.72883,54.6894
omap,0,0,1,1,64,32768,16,1,4096,2.58795,2.56139,2.74013,54.6894
omap,0,0,1,1,64,32768,16,1,8192,2.92366,2.98845,2.88785,54.6894
omap,0,0,1,1,64,32768,16,1,16384,3.5293,3.51884,3.56379,54.6894
omap,0,0,1,1,64,32768,16,1,32768,4.57236,4.91713,4.29616,54.6894
ofs,0,0,1,1,64,1048576,21,1,1024,0.0408616,0.0448565,0.0656656,43.5792
ofs,0,0,1,1,64,1048576,21,1,2048,0.0509159,0.0323257,0.0748611,43.5792
ofs,0,0,1,1,64,1048576,21,1,4096,0.0598598,0.0485705,0.0687957,43.5792
ofs,0,0,1,1,64,1048576,21,1,8192,0.108501,0.057893,0.105622,43.5792
ofs,0,0,1,1,64,1048576,21,1,16384,0.143181,0.107616,0.135395,43.5792
ofs,0,0,1,1,64,1048576,21,1,32768,0.168362,0.202483,0.160466,43.5792
ofs,0,0,1,1,64,1048576,21,1,65536,0.21038,0.279349,0.26699,43.5792
ofs,0,0,1,1,64,1048576,21,1,131072,0.375856,0.647229,0.49402,43.5792
ofs,0,0,1,1,64,1048576,21,1,262144,0.54282,0.807694,0.8475,43.5792
ofs,0,0,1,1,64,1048576,21,1,524288,0.880201,1.37477,1.41314,43.5792
ofs,0,0,1,1,64,1048576,21,1,1048576,1.66374,2.65668,2.93066,43.5792
ofs,0,0,1,1,64,1048576,5,8,1024,0.0907684,0.256666,0.17557,94.3256
ofs,0,0,1,1,64,1048576,5,8,2048,0.294558,0.427348,0.283656,94.3256
ofs,0,0,1,1,64,1048576,5,8,4096,0.460801,0.874324,0.468692,94.3256
ofs,0,0,1,1,64,1048576,5,8,8192,0.149016,0.303357,0.239098,94.3256
ofs,0,0,1,1,64,1048576,5,8,16384,0.276399,0.596803,0.344481,94.3256
ofs,0,0,1,1,64,1048576,5,8,32768,0.510976,0.917587,0.646534,94.3256
ofs,0,0,1,1,64,1048576,5,8,65536,1.13354,2.1806,1.19277,94.3256
ofs,0,0,1,1,64,1048576,5,8,131072,0.823586,2.11883,1.24968,94.3256
ofs,0,0,1,1,64,1048576,5,8,262144,2.17529,4.55183,2.20511,94.3256
ofs,0,0,1,1,64,1048576,5,8,524288,4.8063,9.71959,4.58653,94.3256
ofs,0,0,1,1,64,1048576,5,8,1048576,9.3687,18.484,9.87989,94.3256
