ofs,0,1,0,1,4,1048576,1,1,0,0,0,87.202251,604355664.000000,0,271.983700
ofs,0,1,0,1,4,1048576,1,1,1,0.438758,0.379051,0,0,1.000000,271.983700
ofs,0,1,0,1,4,1048576,1,1,2,0.380048,0.377271,0,0,2.000000,271.983700
ofs,0,1,0,1,4,1048576,1,1,4,0.349625,0.374623,0,0,4.000000,271.983700
ofs,0,1,0,1,4,1048576,1,1,8,0.344517,0.384998,0,0,8.000000,271.983700
ofs,0,1,0,1,4,1048576,1,1,16,0.344704,0.370520,0,0,16.000000,271.983700
ofs,0,1,0,1,4,1048576,1,1,32,0.356643,0.371444,0,0,32.000000,271.983700
ofs,0,1,0,1,4,1048576,1,1,64,0.364769,0.363766,0,0,64.000000,271.983700
ofs,0,1,0,1,4,1048576,1,1,128,0.366607,0.375527,0,0,128.000000,271.983700
ofs,0,1,0,1,4,1048576,1,1,256,0.372990,0.373969,0,0,256.000000,271.983700
ofs,0,1,0,1,4,1048576,1,1,512,0.362197,0.372930,0,0,512.000000,271.983700
ofs,0,1,0,1,4,1048576,1,1,1024,0.360646,0.365882,0,0,1024.000000,271.983700
ofs,0,1,0,1,4,1048576,1,1,2048,0.483387,0.594904,0,0,2048.000000,271.983700
ofs,0,1,0,1,4,1048576,1,1,4096,0.711207,1.040212,0,0,4096.000000,271.983700
ofs,0,1,0,1,4,1048576,1,1,8192,1.222520,1.928809,0,0,8192.000000,271.983700
ofs,0,1,0,1,4,1048576,1,1,16384,2.160052,3.691930,0,0,16384.000000,271.983700
ofs,0,1,0,1,4,1048576,1,1,32768,4.149425,7.183877,0,0,32768.000000,271.983700
ofs,0,1,0,1,4,1048576,1,1,65536,8.006412,14.168620,0,0,65536.000000,271.983700
ofs,0,1,0,1,4,1048576,1,1,131072,15.755326,28.257744,0,0,131072.000000,271.983700
ofs,0,1,0,1,4,1048576,1,1,262144,31.034599,56.235522,0,0,262144.000000,271.983700
