test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,vl,ins,sea,del,total_time
ofs,0,0,1,1,64,1024,11,1,1024,0.00419995,0.00691807,0.0113418,0.0649028
ofs,0,0,1,1,64,1024,3,8,1024,0.0900539,0.139332,0.093945,0.341726
omap,0,0,1,1,64,1024,11,1,1024,0.057379,0.114516,0.117285,0.292619
ofs,0,0,1,1,64,32768,16,1,32768,0.0482466,0.053397,0.0688295,0.855614
ofs,0,0,1,1,64,32768,4,8,32768,0.305056,0.678036,0.345445,1.80737
omap,0,0,1,1,64,32768,16,1,32768,2.61844,4.25425,4.09017,10.984
ofs,0,0,1,1,64,1048576,21,1,1048576,1.61328,2.71542,2.6891,29.5721
ofs,0,0,1,1,64,1048576,5,8,1048576,9.0387,19.111,9.34601,52.0055
omap,0,0,1,1,64,1048576,21,1,1048576,227.068,302.179,286.026,815.682
ofs,0,0,1,1,64,33554432,6,8,2,0.273047,1.24834,1.10358,818.468
ofs,0,0,1,1,64,33554432,6,8,4,0.600722,2.158,2.22206,818.468
ofs,0,0,1,1,64,33554432,6,8,8,1.23214,7.34444,2.58406,818.468
ofs,0,0,1,1,64,33554432,6,8,16,0.166091,2.2312,0.547055,818.468
ofs,0,0,1,1,64,33554432,6,8,32,0.289493,3.53158,0.711944,818.468
ofs,0,0,1,1,64,33554432,6,8,64,0.50987,5.71246,1.17219,818.468
ofs,0,0,1,1,64,33554432,6,8,128,1.12046,8.84483,1.77992,818.468
ofs,0,0,1,1,64,33554432,6,8,256,0.146918,0.966125,0.432552,818.468
ofs,0,0,1,1,64,33554432,6,8,512,0.173538,0.539696,0.382534,818.468
ofs,0,0,1,1,64,33554432,6,8,1024,0.273312,0.534247,0.449664,818.468
ofs,0,0,1,1,64,33554432,6,8,2048,0.452276,0.926626,0.678979,818.468
ofs,0,0,1,1,64,33554432,6,8,4096,0.861778,1.71636,1.16735,818.468
ofs,0,0,1,1,64,33554432,6,8,8192,0.256659,0.525993,0.56744,818.468
ofs,0,0,1,1,64,33554432,6,8,16384,0.451861,1.19318,1.25561,818.468
ofs,0,0,1,1,64,33554432,6,8,32768,1.05701,2.23035,2.66668,818.468
ofs,0,0,1,1,64,33554432,6,8,65536,2.02817,9.63277,6.01415,818.468
ofs,0,0,1,1,64,33554432,6,8,131072,5.46648,25.2145,28.0388,818.468
ofs,0,0,1,1,64,33554432,6,8,262144,25.4521,8.02401,4.52243,818.468
ofs,0,0,1,1,64,33554432,6,8,524288,7.97559,20.9303,10.9051,818.468
ofs,0,0,1,1,64,33554432,6,8,1048576,17.3375,42.0283,25.1659,818.468
