test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,vl,ins,sea,del,total_time
ofs,0,0,0,1,64,1024,11,1,1024,0.00424276,0.00808376,0.00949373,3.75334
ofs,0,0,0,1,64,1024,3,8,1024,0.0639109,0.134054,0.0723121,0.28358
omap,0,0,0,1,64,1024,11,1,1024,0.0451861,0.0823906,0.0845061,0.213068
ofs,0,0,0,1,64,32768,16,1,1024,0.0162608,0.0160591,0.0282101,0.720183
ofs,0,0,0,1,64,32768,4,8,1024,0.0892266,0.19099,0.0957417,14.6829
omap,0,0,0,1,64,32768,16,1,1024,0.310766,1.67495,1.68561,4.10991
ofs,0,0,0,1,64,1048576,21,1,1024,0.0282156,0.0280711,0.0503515,22.895
ofs,0,0,0,1,64,1048576,5,8,1024,0.0794594,0.188701,0.108963,29.3443
omap,0,0,0,1,64,1048576,21,1,1024,3.25608,9.35495,10.4073,24.6783
ofs,0,0,0,1,64,33554432,6,8,1024,0.137483,0.318722,0.191255,413.066
