test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,append,append_bytes,insert,insert_bytes,setup,setup_bytes,total_time
ofs-update,0,1,0,1,128,131072,1,1,0,0,0,0,0,14.417449,205478992.000000,18.116001
ofs-update,0,1,0,1,128,131072,1,1,128,0.353868,10461088.000000,0.021070,2507616.000000,0,0,18.116001
ofs-update,0,1,0,1,128,131072,1,1,512,0.322806,6529152.000000,0.015204,3622112.000000,0,0,18.116001
ofs-update,0,1,0,1,128,131072,1,1,1024,0.323267,6532512.000000,0.034100,6129728.000000,0,0,18.116001
ofs-update,0,1,0,1,128,131072,1,1,4096,0.356449,6522432.000000,0.119577,16160192.000000,0,0,18.116001
