test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,append,append_bytes,insert,insert_bytes,setup,setup_bytes,vl,total_time
ofs-update,0,0,0,1,32,16384,3,2,0,0,0,0,0,0.266044,13576272.000000,0,1.090242
ofs-update,0,0,0,1,32,16384,3,2,16,0.114634,1551744.000000,0.032109,574272.000000,0,0,16.000000,1.090242
ofs-update,0,0,0,1,32,16384,3,2,128,0.037014,1995088.000000,0.030825,1124864.000000,0,0,128.000000,1.090242
ofs-update,0,0,0,1,32,16384,3,2,1024,0.035734,1985488.000000,0.034258,1956928.000000,0,0,1024.000000,1.090242
ofs-update,0,0,0,1,32,16384,3,2,4096,0.035431,1981888.000000,0.033832,1950928.000000,0,0,4096.000000,1.090242
