test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,append,append_bytes,insert,insert_bytes,setup,setup_bytes,vl,total_time
ofs-update,0,1,0,1,4096,1048576,3,2,0,0,0,0,0,842.779876,69093610112.000000,0,1088.055941
ofs-update,0,1,0,1,4096,1048576,3,2,16,11.071377,77827584.000000,10.395794,34802304.000000,0,0,16.000000,1088.055941
ofs-update,0,1,0,1,4096,1048576,3,2,128,31.361382,2500880448.000000,4.602438,73593216.000000,0,0,128.000000,1088.055941
ofs-update,0,1,0,1,4096,1048576,3,2,1024,51.457036,5918883840.000000,51.485370,2421827760.000000,0,0,1024.000000,1088.055941
ofs-update,0,1,0,1,4096,1048576,3,2,4096,47.968303,5918887200.000000,26.286998,2690820240.000000,0,0,4096.000000,1088.055941
