test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,append,append_bytes,insert,insert_bytes,setup,setup_bytes,vl,total_time
ofs-update,0,1,1,1,32,1048576,3,2,0,0,0,0,0,17.469012,1179423360.000000,0,19.007035
ofs-update,0,1,1,1,32,1048576,3,2,16,0.158243,2896000.000000,0.061284,1522496.000000,0,0,16.000000,19.007035
ofs-update,0,1,1,1,32,1048576,3,2,128,0.227160,29505120.000000,0.150943,2839968.000000,0,0,128.000000,19.007035
ofs-update,0,1,1,1,32,1048576,3,2,1024,0.198468,59421952.000000,0.135717,24767664.000000,0,0,1024.000000,19.007035
ofs-update,0,1,1,1,32,1048576,3,2,4096,0.214132,64679664.000000,0.136333,24828384.000000,0,0,4096.000000,19.007035
