test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,insert,insert_bytes,load_data,search,search_bytes,search_false_pos,setup,setup_bytes,total_time
omap,0,0,1,0,64,4194304,23,1,0,0.043459,1065026.400000,0.000000,0.037123,1158890.400000,18106.430000,7.657475,0.000000,33.434000
omap,0,0,1,0,64,8388608,24,1,0,0.050000,1155408.000000,0.000000,0.043835,1252778.400000,19573.410000,11.018433,0.000000,42.806228
omap,0,0,1,0,64,16777216,25,1,0,0.056961,1249056.000000,0.000000,0.051046,1348778.400000,21073.425000,14.584950,0.000000,52.773082
omap,0,0,1,0,64,8,4,1,0,0.001256,6614.400000,0.000000,0.001228,6638.400000,102.725000,0.000350,0.000000,0.498443
omap,0,0,1,0,64,16,5,1,0,0.001484,13723.200000,0.000000,0.001528,13632.000000,212.000000,0.000382,0.000000,0.608173
omap,0,0,1,0,64,32,6,1,0,0.002029,25502.400000,0.000000,0.002113,25632.000000,399.500000,0.000332,0.000000,0.833969
omap,0,0,1,0,64,64,7,1,0,0.002844,43574.400000,0.000000,0.002866,43728.000000,682.250000,0.000332,0.000000,1.148551
omap,0,0,1,0,64,128,8,1,0,0.003528,70120.800000,0.000000,0.003735,70689.600000,1103.525000,0.000348,0.000000,1.459275
omap,0,0,1,0,64,256,9,1,0,0.004816,103029.600000,0.000000,0.004667,103555.200000,1617.050000,0.000357,0.000000,1.904096
omap,0,0,1,0,64,512,10,1,0,0.005617,144393.600000,0.000000,0.005724,145468.800000,2271.950000,0.000362,0.000000,2.276367
