test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,append,insert,insert_bytes,setup,setup_bytes,vl,total_time
osm,0,1,1,1,128,4194304,23,1,0,0,0,0,1272.797982,3221224704.000000,0,9563.874015
osm,0,1,1,1,128,4194304,23,1,1,0,2.262362,2264064.000000,0,0,1.000000,9563.874015
osm,0,1,1,1,128,4194304,23,1,2,0,4.216960,4274688.000000,0,0,2.000000,9563.874015
osm,0,1,1,1,128,4194304,23,1,4,0,7.216775,7990272.000000,0,0,4.000000,9563.874015
osm,0,1,1,1,128,4194304,23,1,8,0,13.394174,14817792.000000,0,0,8.000000,9563.874015
osm,0,1,1,1,128,4194304,23,1,16,0,23.154133,27274752.000000,0,0,16.000000,9563.874015
osm,0,1,1,1,128,4194304,23,1,32,0,39.006298,49520640.000000,0,0,32.000000,9563.874015
osm,0,1,1,1,128,4194304,23,1,64,0,66.352905,90130944.000000,0,0,64.000000,9563.874015
osm,0,1,1,1,128,4194304,23,1,128,2.740169,108.766696,160785408.000000,0,0,128.000000,9563.874015
osm,0,1,1,1,128,4194304,23,1,256,0,174.102604,284696064.000000,0,0,256.000000,9563.874015
osm,0,1,1,1,128,4194304,23,1,512,2.001131,270.459336,493727232.000000,0,0,512.000000,9563.874015
osm,0,1,1,1,128,4194304,23,1,1024,2.007052,392.185739,837995520.000000,0,0,1024.000000,9563.874015
osm,0,1,1,1,128,4194304,23,1,2048,0,538.420602,1380163584.000000,0,0,2048.000000,9563.874015
osm,0,1,1,1,128,4194304,23,1,4096,2.225280,708.110103,2183786496.000000,0,0,4096.000000,9563.874015
osm,0,1,1,1,128,4194304,23,1,8192,0,969.069754,3267770880.000000,0,0,8192.000000,9563.874015
osm,0,1,1,1,128,4194304,23,1,16384,0,1338.369817,4522148352.000000,0,0,16384.000000,9563.874015
osm,0,1,1,1,128,4194304,23,1,32768,0,1694.632934,5642314752.000000,0,0,32768.000000,9563.874015
osm,0,1,1,1,128,4194304,23,1,65536,0,1932.320771,6277661184.000000,0,0,65536.000000,9563.874015
