test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,append,append_bytes,insert,setup,setup_bytes,vl,total_time
ofs-update,1,1,0,1,128,1048576,1,1,0,0,0,0,93.640024,1643527248.000000,0,94.358048
ofs-update,1,1,0,1,128,1048576,1,1,1,0,0,0.029220,0,0,1.000000,94.358048
ofs-update,1,1,0,1,128,1048576,1,1,2,0,0,0.012464,0,0,2.000000,94.358048
ofs-update,1,1,0,1,128,1048576,1,1,4,0,0,0.012947,0,0,4.000000,94.358048
ofs-update,1,1,0,1,128,1048576,1,1,8,0,0,0.010758,0,0,8.000000,94.358048
ofs-update,1,1,0,1,128,1048576,1,1,16,0,0,0.010652,0,0,16.000000,94.358048
ofs-update,1,1,0,1,128,1048576,1,1,32,0,0,0.009826,0,0,32.000000,94.358048
ofs-update,1,1,0,1,128,1048576,1,1,64,0,0,0.009502,0,0,64.000000,94.358048
ofs-update,1,1,0,1,128,1048576,1,1,128,0.015518,3342624.000000,0.010048,0,0,128.000000,94.358048
ofs-update,1,1,0,1,128,1048576,1,1,256,0,0,0.008766,0,0,256.000000,94.358048
ofs-update,1,1,0,1,128,1048576,1,1,512,0.016243,8913664.000000,0.009655,0,0,512.000000,94.358048
ofs-update,1,1,0,1,128,1048576,1,1,1024,0.008645,4456832.000000,0.008992,0,0,1024.000000,94.358048
ofs-update,1,1,0,1,128,1048576,1,1,2048,0,0,0.020327,0,0,2048.000000,94.358048
ofs-update,1,1,0,1,128,1048576,1,1,4096,0.006357,0.000000,0.037213,0,0,4096.000000,94.358048
ofs-update,1,1,0,1,128,1048576,1,1,8192,0,0,0.071185,0,0,8192.000000,94.358048
ofs-update,1,1,0,1,128,1048576,1,1,16384,0,0,0.135141,0,0,16384.000000,94.358048
ofs-update,1,1,0,1,128,1048576,1,1,32768,0,0,0.266172,0,0,32768.000000,94.358048
