test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,append,insert,insert_bytes,setup,setup_bytes,vl,total_time
osm,0,1,1,1,128,262144,19,1,0,0,0,0,75.692227,201325824.000000,0,1049.574177
osm,0,1,1,1,128,262144,19,1,1,0,1.130293,1402368.000000,0,0,1.000000,1049.574177
osm,0,1,1,1,128,262144,19,1,2,0,1.813532,2620416.000000,0,0,2.000000,1049.574177
osm,0,1,1,1,128,262144,19,1,4,0,3.422937,4706304.000000,0,0,4.000000,1049.574177
osm,0,1,1,1,128,262144,19,1,8,0,5.551511,8461824.000000,0,0,8.000000,1049.574177
osm,0,1,1,1,128,262144,19,1,16,0,9.242210,14980608.000000,0,0,16.000000,1049.574177
osm,0,1,1,1,128,262144,19,1,32,0,15.497260,26254848.000000,0,0,32.000000,1049.574177
osm,0,1,1,1,128,262144,19,1,64,0,22.452583,44814336.000000,0,0,64.000000,1049.574177
osm,0,1,1,1,128,262144,19,1,128,1.140037,31.719459,74485248.000000,0,0,128.000000,1049.574177
osm,0,1,1,1,128,262144,19,1,256,0,39.905169,119577600.000000,0,0,256.000000,1049.574177
osm,0,1,1,1,128,262144,19,1,512,1.026774,53.925201,182261760.000000,0,0,512.000000,1049.574177
osm,0,1,1,1,128,262144,19,1,1024,1.222715,73.615153,258998784.000000,0,0,1024.000000,1049.574177
osm,0,1,1,1,128,262144,19,1,2048,0,97.321838,333926400.000000,0,0,2048.000000,1049.574177
osm,0,1,1,1,128,262144,19,1,4096,1.077212,116.134343,384076800.000000,0,0,4096.000000,1049.574177
osm,0,1,1,1,128,262144,19,1,8192,0,121.579799,401177088.000000,0,0,8192.000000,1049.574177
osm,0,1,1,1,128,262144,19,1,16384,0,127.316439,402637824.000000,0,0,16384.000000,1049.574177
osm,0,1,1,1,128,262144,19,1,32768,0,123.066020,402651648.000000,0,0,32768.000000,1049.574177
osm,0,1,1,1,128,262144,19,1,65536,0,125.704742,402651648.000000,0,0,65536.000000,1049.574177
