test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,append,append_bytes,insert,setup,setup_bytes,vl,total_time
ofs-update,1,1,0,1,128,65536,1,1,0,0,0,0,6.634913,101675088.000000,0,6.777093
ofs-update,1,1,0,1,128,65536,1,1,1,0,0,0.011026,0,0,1.000000,6.777093
ofs-update,1,1,0,1,128,65536,1,1,2,0,0,0.006320,0,0,2.000000,6.777093
ofs-update,1,1,0,1,128,65536,1,1,4,0,0,0.007238,0,0,4.000000,6.777093
ofs-update,1,1,0,1,128,65536,1,1,8,0,0,0.005666,0,0,8.000000,6.777093
ofs-update,1,1,0,1,128,65536,1,1,16,0,0,0.003859,0,0,16.000000,6.777093
ofs-update,1,1,0,1,128,65536,1,1,32,0,0,0.006075,0,0,32.000000,6.777093
ofs-update,1,1,0,1,128,65536,1,1,64,0,0,0.002616,0,0,64.000000,6.777093
ofs-update,1,1,0,1,128,65536,1,1,128,0.007092,4456832.000000,0.004288,0,0,128.000000,6.777093
ofs-update,1,1,0,1,128,65536,1,1,256,0,0,0.004770,0,0,256.000000,6.777093
ofs-update,1,1,0,1,128,65536,1,1,512,0.005300,0.000000,0.003135,0,0,512.000000,6.777093
ofs-update,1,1,0,1,128,65536,1,1,1024,0.003981,1114208.000000,0.002820,0,0,1024.000000,6.777093
ofs-update,1,1,0,1,128,65536,1,1,2048,0,0,0.008225,0,0,2048.000000,6.777093
ofs-update,1,1,0,1,128,65536,1,1,4096,0.004663,3342624.000000,0,0,0,0,6.777093
