test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,append,append_bytes,insert,setup,setup_bytes,vl,total_time
ofs-update,1,1,0,1,128,262144,1,1,0,0,0,0,24.784522,410045520.000000,0,25.008247
ofs-update,1,1,0,1,128,262144,1,1,1,0,0,0.021031,0,0,1.000000,25.008247
ofs-update,1,1,0,1,128,262144,1,1,2,0,0,0.011151,0,0,2.000000,25.008247
ofs-update,1,1,0,1,128,262144,1,1,4,0,0,0.008205,0,0,4.000000,25.008247
ofs-update,1,1,0,1,128,262144,1,1,8,0,0,0.008088,0,0,8.000000,25.008247
ofs-update,1,1,0,1,128,262144,1,1,16,0,0,0.008385,0,0,16.000000,25.008247
ofs-update,1,1,0,1,128,262144,1,1,32,0,0,0.006908,0,0,32.000000,25.008247
ofs-update,1,1,0,1,128,262144,1,1,64,0,0,0.008430,0,0,64.000000,25.008247
ofs-update,1,1,0,1,128,262144,1,1,128,0.011041,3342624.000000,0.005742,0,0,128.000000,25.008247
ofs-update,1,1,0,1,128,262144,1,1,256,0,0,0.006604,0,0,256.000000,25.008247
ofs-update,1,1,0,1,128,262144,1,1,512,0.013954,8913664.000000,0.006800,0,0,512.000000,25.008247
ofs-update,1,1,0,1,128,262144,1,1,1024,0.004296,0.000000,0.007615,0,0,1024.000000,25.008247
ofs-update,1,1,0,1,128,262144,1,1,2048,0,0,0.010274,0,0,2048.000000,25.008247
ofs-update,1,1,0,1,128,262144,1,1,4096,0.006219,3342624.000000,0.027119,0,0,4096.000000,25.008247
ofs-update,1,1,0,1,128,262144,1,1,8192,0,0,0.046357,0,0,8192.000000,25.008247
