test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,append,append_bytes,insert,insert_bytes,setup,setup_bytes,total_time
ofs-update,0,1,0,1,128,65536,1,1,0,0,0,0,0,7.316427,98310480.000000,12.103590
ofs-update,0,1,0,1,128,65536,1,1,128,0.844604,63610816.000000,0.035611,17826176.000000,0,0,12.103590
ofs-update,0,1,0,1,128,65536,1,1,512,0.912642,63602656.000000,0.019482,8913088.000000,0,0,12.103590
ofs-update,0,1,0,1,128,65536,1,1,1024,0.867977,63618496.000000,0.019662,13369632.000000,0,0,12.103590
ofs-update,0,1,0,1,128,65536,1,1,4096,0.610455,36853312.000000,0.001585,0.000000,0,0,12.103590
