test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,append,append_bytes,insert,insert_bytes,setup,setup_bytes,total_time
ofs-update,1,1,0,1,128,1048576,1,1,0,0,0,0,0,92.674234,1639828560.000000,96.117205
ofs-update,1,1,0,1,128,1048576,1,1,128,0.528995,135898080.000000,0.048993,35652352.000000,0,0,96.117205
ofs-update,1,1,0,1,128,1048576,1,1,512,0.458899,91354240.000000,0.023464,31195808.000000,0,0,96.117205
ofs-update,1,1,0,1,128,1048576,1,1,1024,0.509262,126986912.000000,0.021286,26739264.000000,0,0,96.117205
ofs-update,1,1,0,1,128,1048576,1,1,4096,0.455288,73506464.000000,0.016731,22282720.000000,0,0,96.117205
