test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,insert,insert_bytes,load_data,search,search_bytes,search_false_pos,setup,setup_bytes,vl,total_time
ofs,0,0,1,1,300,8388608,22,1,158,0.571454,3088096.000000,0,1.586933,4645920.000000,15484.000000,0,0,2.000000,1466.511362
ofs,0,0,1,1,300,8388608,22,1,159,0.494588,3120016.000000,0,1.502735,4636832.000000,15454.000000,0,0,2.000000,1466.511362
ofs,0,0,1,1,300,8388608,22,1,160,0.654108,3642720.000000,0,1.285532,6278960.000000,20914.000000,0,0,15.000000,1466.511362
ofs,0,0,1,1,300,8388608,22,1,161,16.884905,5302912400.000000,0,18.956918,5302965680.000000,16372923.000000,0,0,1303629.000000,1466.511362
ofs,0,0,1,1,300,8388608,22,1,162,4.216554,607646160.000000,0,6.382665,1294774784.000000,4307671.000000,0,0,8244.000000,1466.511362
ofs,0,0,1,1,300,8388608,22,1,163,1.283495,567263648.000000,0,7.444040,1456240272.000000,4843864.000000,0,0,10270.000000,1466.511362
ofs,0,0,1,1,300,8388608,22,1,164,2.930838,648008512.000000,0,3.245335,1375504048.000000,4576162.000000,0,0,8851.000000,1466.511362
ofs,0,0,1,1,300,8388608,22,1,165,13.604975,5302922720.000000,0,18.543128,5302962320.000000,17552329.000000,0,0,124212.000000,1466.511362
ofs,0,0,1,1,300,8388608,22,1,166,13.718389,5302899200.000000,0,14.540045,5302959440.000000,17540988.000000,0,0,135543.000000,1466.511362
ofs,0,0,1,1,300,8388608,22,1,167,14.798308,5302922720.000000,0,14.885814,5302971440.000000,17601419.000000,0,0,75152.000000,1466.511362
ofs,0,0,1,1,300,8388608,22,1,168,15.436808,5302925360.000000,0,14.245736,5302966880.000000,17549628.000000,0,0,126928.000000,1466.511362
ofs,0,0,1,1,300,8388608,22,1,169,1.226068,9432176.000000,0,0.907960,16833216.000000,56014.000000,0,0,96.000000,1466.511362
ofs,0,0,1,1,300,8388608,22,1,170,0.408478,3088464.000000,0,0.942393,4703664.000000,15674.000000,0,0,4.000000,1466.511362
ofs,0,0,1,1,300,8388608,22,1,171,0.734681,3225184.000000,0,1.899920,5133440.000000,17106.000000,0,0,5.000000,1466.511362
ofs,0,0,1,1,300,8388608,22,1,172,0.451756,3086672.000000,0,1.333843,4672320.000000,15572.000000,0,0,2.000000,1466.511362
ofs,0,0,1,1,300,8388608,22,1,173,0.364809,25075872.000000,0,0.796234,57661472.000000,191815.000000,0,0,389.000000,1466.511362
ofs,0,0,1,1,300,8388608,22,1,174,0.351329,52772480.000000,0,1.625698,126959248.000000,422566.000000,0,0,631.000000,1466.511362
ofs,0,0,1,1,300,8388608,22,1,175,0.354421,57836464.000000,0,1.183361,109299984.000000,363650.000000,0,0,683.000000,1466.511362
ofs,0,0,1,1,300,8388608,22,1,176,0.487461,193981360.000000,0,2.299158,386601440.000000,1284846.000000,0,0,3825.000000,1466.511362
ofs,0,0,1,1,300,8388608,22,1,177,0.744913,204065120.000000,0,2.401361,396713760.000000,1319536.000000,0,0,2843.000000,1466.511362
ofs,0,0,1,1,300,8388608,22,1,178,0.718232,3657600.000000,0,1.204231,6055280.000000,20168.000000,0,0,16.000000,1466.511362
ofs,0,0,1,1,300,8388608,22,1,179,1.701443,526904656.000000,0,3.647115,1335125376.000000,4436231.000000,0,0,14186.000000,1466.511362
ofs,0,0,1,1,300,8388608,22,1,180,0.808840,284702656.000000,0,1.755956,709492960.000000,2360684.000000,0,0,4292.000000,1466.511362
