id,search
0,0.0
1,6.463828
2,6.534384
4,6.532488
8,6.647079
16,7.478221
32,8.733391
64,10.319055
128,11.231228
256,14.848398
512,22.594242
1024,33.915981
2048,55.260641
4096,88.590674
8192,142.284234
16384,216.31433
32768,312.121472
65536,429.182598
131072,546.829376
262144,714.476103
524288,984.721983
1048576,0.0
2097152,0.0
