osm,1,1,0,1,64,8388608,24,1,0,0,0,0,0,0,489.118256,4294966784.000000,0,8250.049260
osm,1,1,0,1,64,8388608,24,1,1,0.000002,0.000000,1.777744,220672.000000,3447.000000,0,0,1.000000,8250.049260
osm,1,1,0,1,64,8388608,24,1,2,0.000012,0.000000,0.119906,6656.000000,102.000000,0,0,2.000000,8250.049260
osm,1,1,0,1,64,8388608,24,1,4,0.000016,0.000000,0.244018,28160.000000,436.000000,0,0,4.000000,8250.049260
osm,1,1,0,1,64,8388608,24,1,8,0.000173,0.000000,0.010878,57856.000000,896.000000,0,0,8.000000,8250.049260
osm,1,1,0,1,64,8388608,24,1,16,0.000083,0.000000,0.024755,127488.000000,1976.000000,0,0,16.000000,8250.049260
osm,1,1,0,1,64,8388608,24,1,32,0.000197,0.000000,0.050267,244224.000000,3784.000000,0,0,32.000000,8250.049260
osm,1,1,0,1,64,8388608,24,1,64,0.000443,0.000000,0.108745,489984.000000,7592.000000,0,0,64.000000,8250.049260
osm,1,1,0,1,64,8388608,24,1,128,0.001120,0.000000,0.204911,909312.000000,14080.000000,0,0,128.000000,8250.049260
osm,1,1,0,1,64,8388608,24,1,256,0.002446,0.000000,0.392506,1723904.000000,26680.000000,0,0,256.000000,8250.049260
osm,1,1,0,1,64,8388608,24,1,512,0.005577,0.000000,0.737600,3190784.000000,49344.000000,0,0,512.000000,8250.049260
osm,1,1,0,1,64,8388608,24,1,1024,0.007826,0.000000,1.429816,5852672.000000,90424.000000,0,0,1024.000000,8250.049260
osm,1,1,0,1,64,8388608,24,1,2048,0.013036,0.000000,2.678823,10554368.000000,162864.000000,0,0,2048.000000,8250.049260
osm,1,1,0,1,64,8388608,24,1,4096,0.021400,0.000000,5.054526,19073536.000000,293928.000000,0,0,4096.000000,8250.049260
osm,1,1,0,1,64,8388608,24,1,8192,0.051078,0.000000,9.404995,33933824.000000,522024.000000,0,0,8192.000000,8250.049260
osm,1,1,0,1,64,8388608,24,1,16384,0.120134,0.000000,17.360640,59630080.000000,915336.000000,0,0,16384.000000,8250.049260
osm,1,1,0,1,64,8388608,24,1,32768,0.284431,0.000000,31.711324,102740992.000000,1572560.000000,0,0,32768.000000,8250.049260
osm,1,1,0,1,64,8388608,24,1,65536,0.746487,0.000000,57.796120,172359168.000000,2627576.000000,0,0,65536.000000,8250.049260
osm,1,1,0,1,64,8388608,24,1,131072,3.071892,0.000000,103.597934,279567360.000000,4237168.000000,0,0,131072.000000,8250.049260
osm,1,1,0,1,64,8388608,24,1,262144,7.986181,0.000000,180.997576,429323776.000000,6446040.000000,0,0,262144.000000,8250.049260
osm,1,1,0,1,64,8388608,24,1,524288,19.179091,0.000000,311.953708,614889984.000000,9083368.000000,0,0,524288.000000,8250.049260
osm,1,1,0,1,64,8388608,24,1,1048576,50.287825,0.000000,457.259196,784396288.000000,11207616.000000,0,0,1048576.000000,8250.049260
osm,1,1,0,1,64,8388608,24,1,2097152,118.303789,0.000000,571.155445,829961728.000000,10871000.000000,0,0,2097152.000000,8250.049260
osm,1,1,0,1,64,8388608,24,1,4194304,232.385263,0.000000,515.938406,635339776.000000,5732880.000000,0,0,4194304.000000,8250.049260
