test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,append,insert,insert_bytes,setup,setup_bytes,vl,total_time
osm,0,1,1,1,128,4194304,23,1,0,0,0,0,1274.709069,3221224704.000000,0,9490.629281
osm,0,1,1,1,128,4194304,23,1,1,0,2.341682,2319360.000000,0,0,1.000000,9490.629281
osm,0,1,1,1,128,4194304,23,1,2,0,4.393352,4277760.000000,0,0,2.000000,9490.629281
osm,0,1,1,1,128,4194304,23,1,4,0,7.893282,7936512.000000,0,0,4.000000,9490.629281
osm,0,1,1,1,128,4194304,23,1,8,0,13.316591,14813184.000000,0,0,8.000000,9490.629281
osm,0,1,1,1,128,4194304,23,1,16,0,23.838101,27331584.000000,0,0,16.000000,9490.629281
osm,0,1,1,1,128,4194304,23,1,32,0,39.178044,49774080.000000,0,0,32.000000,9490.629281
osm,0,1,1,1,128,4194304,23,1,64,0,66.687774,90026496.000000,0,0,64.000000,9490.629281
osm,0,1,1,1,128,4194304,23,1,128,2.707844,107.520348,161117184.000000,0,0,128.000000,9490.629281
osm,0,1,1,1,128,4194304,23,1,256,0,174.792817,284387328.000000,0,0,256.000000,9490.629281
osm,0,1,1,1,128,4194304,23,1,512,2.424801,268.903156,493017600.000000,0,0,512.000000,9490.629281
osm,0,1,1,1,128,4194304,23,1,1024,2.327238,396.775951,838571520.000000,0,0,1024.000000,9490.629281
osm,0,1,1,1,128,4194304,23,1,2048,0,529.625930,1380570624.000000,0,0,2048.000000,9490.629281
osm,0,1,1,1,128,4194304,23,1,4096,2.120605,687.778621,2185285632.000000,0,0,4096.000000,9490.629281
osm,0,1,1,1,128,4194304,23,1,8192,0,950.492574,3269253120.000000,0,0,8192.000000,9490.629281
osm,0,1,1,1,128,4194304,23,1,16384,0,1319.774205,4521956352.000000,0,0,16384.000000,9490.629281
osm,0,1,1,1,128,4194304,23,1,32768,0,1701.939430,5642164224.000000,0,0,32768.000000,9490.629281
osm,0,1,1,1,128,4194304,23,1,65536,0,1911.009278,6278430720.000000,0,0,65536.000000,9490.629281
