test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,append,append_bytes,insert,setup,setup_bytes,vl,total_time
ofs-update,0,1,1,1,128,4194304,1,1,0,0,0,0,405.427415,6577454160.000000,0,408.649884
ofs-update,0,1,1,1,128,4194304,1,1,1,0,0,0.080376,0,0,1.000000,408.649884
ofs-update,0,1,1,1,128,4194304,1,1,2,0,0,0.025926,0,0,2.000000,408.649884
ofs-update,0,1,1,1,128,4194304,1,1,4,0,0,0.022341,0,0,4.000000,408.649884
ofs-update,0,1,1,1,128,4194304,1,1,8,0,0,0.015277,0,0,8.000000,408.649884
ofs-update,0,1,1,1,128,4194304,1,1,16,0,0,0.015834,0,0,16.000000,408.649884
ofs-update,0,1,1,1,128,4194304,1,1,32,0,0,0.015931,0,0,32.000000,408.649884
ofs-update,0,1,1,1,128,4194304,1,1,64,0,0,0.017908,0,0,64.000000,408.649884
ofs-update,0,1,1,1,128,4194304,1,1,128,0.022414,10027872.000000,0.012639,0,0,128.000000,408.649884
ofs-update,0,1,1,1,128,4194304,1,1,256,0,0,0.017653,0,0,256.000000,408.649884
ofs-update,0,1,1,1,128,4194304,1,1,512,0.021726,7799456.000000,0.015485,0,0,512.000000,408.649884
ofs-update,0,1,1,1,128,4194304,1,1,1024,0.011830,2228416.000000,0.015928,0,0,1024.000000,408.649884
ofs-update,0,1,1,1,128,4194304,1,1,2048,0,0,0.024827,0,0,2048.000000,408.649884
ofs-update,0,1,1,1,128,4194304,1,1,4096,0.010586,2228416.000000,0.063134,0,0,4096.000000,408.649884
ofs-update,0,1,1,1,128,4194304,1,1,8192,0,0,0.097387,0,0,8192.000000,408.649884
ofs-update,0,1,1,1,128,4194304,1,1,16384,0,0,0.197925,0,0,16384.000000,408.649884
ofs-update,0,1,1,1,128,4194304,1,1,32768,0,0,0.377279,0,0,32768.000000,408.649884
ofs-update,0,1,1,1,128,4194304,1,1,65536,0,0,0.731356,0,0,65536.000000,408.649884
ofs-update,0,1,1,1,128,4194304,1,1,131072,0,0,1.395457,0,0,131072.000000,408.649884
