test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,append,insert,insert_bytes,setup,setup_bytes,vl,total_time
osm,0,1,1,1,128,262144,19,1,0,0,0,0,72.700766,201325824.000000,0,1050.874470
osm,0,1,1,1,128,262144,19,1,1,0,1.008466,1399296.000000,0,0,1.000000,1050.874470
osm,0,1,1,1,128,262144,19,1,2,0,1.864340,2551296.000000,0,0,2.000000,1050.874470
osm,0,1,1,1,128,262144,19,1,4,0,3.326034,4666368.000000,0,0,4.000000,1050.874470
osm,0,1,1,1,128,262144,19,1,8,0,5.601312,8461824.000000,0,0,8.000000,1050.874470
osm,0,1,1,1,128,262144,19,1,16,0,9.034112,15063552.000000,0,0,16.000000,1050.874470
osm,0,1,1,1,128,262144,19,1,32,0,14.810170,26207232.000000,0,0,32.000000,1050.874470
osm,0,1,1,1,128,262144,19,1,64,0,21.902845,44669952.000000,0,0,64.000000,1050.874470
osm,0,1,1,1,128,262144,19,1,128,1.138799,31.367640,74664960.000000,0,0,128.000000,1050.874470
osm,0,1,1,1,128,262144,19,1,256,0,39.598226,119285760.000000,0,0,256.000000,1050.874470
osm,0,1,1,1,128,262144,19,1,512,1.164306,54.713014,182237184.000000,0,0,512.000000,1050.874470
osm,0,1,1,1,128,262144,19,1,1024,1.190230,73.989566,258974208.000000,0,0,1024.000000,1050.874470
osm,0,1,1,1,128,262144,19,1,2048,0,100.150714,333803520.000000,0,0,2048.000000,1050.874470
osm,0,1,1,1,128,262144,19,1,4096,1.100320,114.929779,384145920.000000,0,0,4096.000000,1050.874470
osm,0,1,1,1,128,262144,19,1,8192,0,118.654115,401021952.000000,0,0,8192.000000,1050.874470
osm,0,1,1,1,128,262144,19,1,16384,0,124.965441,402637824.000000,0,0,16384.000000,1050.874470
osm,0,1,1,1,128,262144,19,1,32768,0,129.352467,402651648.000000,0,0,32768.000000,1050.874470
osm,0,1,1,1,128,262144,19,1,65536,0,128.296275,402651648.000000,0,0,65536.000000,1050.874470
