test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,append,append_bytes,insert,setup,setup_bytes,vl,total_time
ofs-update,0,1,1,1,128,262144,1,1,0,0,0,0,25.756082,410045520.000000,0,25.983327
ofs-update,0,1,1,1,128,262144,1,1,1,0,0,0.019461,0,0,1.000000,25.983327
ofs-update,0,1,1,1,128,262144,1,1,2,0,0,0.008891,0,0,2.000000,25.983327
ofs-update,0,1,1,1,128,262144,1,1,4,0,0,0.009171,0,0,4.000000,25.983327
ofs-update,0,1,1,1,128,262144,1,1,8,0,0,0.011000,0,0,8.000000,25.983327
ofs-update,0,1,1,1,128,262144,1,1,16,0,0,0.007669,0,0,16.000000,25.983327
ofs-update,0,1,1,1,128,262144,1,1,32,0,0,0.008851,0,0,32.000000,25.983327
ofs-update,0,1,1,1,128,262144,1,1,64,0,0,0.007761,0,0,64.000000,25.983327
ofs-update,0,1,1,1,128,262144,1,1,128,0.012093,8913664.000000,0.006517,0,0,128.000000,25.983327
ofs-update,0,1,1,1,128,262144,1,1,256,0,0,0.007473,0,0,256.000000,25.983327
ofs-update,0,1,1,1,128,262144,1,1,512,0.009599,2228416.000000,0.007025,0,0,512.000000,25.983327
ofs-update,0,1,1,1,128,262144,1,1,1024,0.007002,4456832.000000,0.006771,0,0,1024.000000,25.983327
ofs-update,0,1,1,1,128,262144,1,1,2048,0,0,0.014206,0,0,2048.000000,25.983327
ofs-update,0,1,1,1,128,262144,1,1,4096,0.006938,4456832.000000,0.023020,0,0,4096.000000,25.983327
ofs-update,0,1,1,1,128,262144,1,1,8192,0,0,0.049756,0,0,8192.000000,25.983327
