test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,append,insert,insert_bytes,setup,setup_bytes,vl,total_time
osm,0,1,1,1,128,1048576,21,1,0,0,0,0,312.259368,805305600.000000,0,3295.542996
osm,0,1,1,1,128,1048576,21,1,1,0,1.759088,1778688.000000,0,0,1.000000,3295.542996
osm,0,1,1,1,128,1048576,21,1,2,0,3.078483,3368448.000000,0,0,2.000000,3295.542996
osm,0,1,1,1,128,1048576,21,1,4,0,5.232367,6245376.000000,0,0,4.000000,3295.542996
osm,0,1,1,1,128,1048576,21,1,8,0,9.443043,11457024.000000,0,0,8.000000,3295.542996
osm,0,1,1,1,128,1048576,21,1,16,0,14.863555,20752896.000000,0,0,16.000000,3295.542996
osm,0,1,1,1,128,1048576,21,1,32,0,24.636021,36931584.000000,0,0,32.000000,3295.542996
osm,0,1,1,1,128,1048576,21,1,64,0,40.197118,65335296.000000,0,0,64.000000,3295.542996
osm,0,1,1,1,128,1048576,21,1,128,1.683098,64.499790,114130944.000000,0,0,128.000000,3295.542996
osm,0,1,1,1,128,1048576,21,1,256,0,93.576346,194350080.000000,0,0,256.000000,3295.542996
osm,0,1,1,1,128,1048576,21,1,512,1.765033,129.007585,322489344.000000,0,0,512.000000,3295.542996
osm,0,1,1,1,128,1048576,21,1,1024,1.516402,172.094232,513262080.000000,0,0,1024.000000,3295.542996
osm,0,1,1,1,128,1048576,21,1,2048,0,229.010827,774824448.000000,0,0,2048.000000,3295.542996
osm,0,1,1,1,128,1048576,21,1,4096,1.516843,314.991452,1085262336.000000,0,0,4096.000000,3295.542996
osm,0,1,1,1,128,1048576,21,1,8192,0,411.904488,1375319040.000000,0,0,8192.000000,3295.542996
osm,0,1,1,1,128,1048576,21,1,16384,0,478.414380,1555542528.000000,0,0,16384.000000,3295.542996
osm,0,1,1,1,128,1048576,21,1,32768,0,491.017730,1607106048.000000,0,0,32768.000000,3295.542996
osm,0,1,1,1,128,1048576,21,1,65536,0,493.032174,1610601984.000000,0,0,65536.000000,3295.542996
