test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,append,append_bytes,insert,setup,setup_bytes,vl,total_time
ofs-update,0,1,1,1,128,1048576,1,1,0,0,0,0,99.226151,1643527248.000000,0,99.958327
ofs-update,0,1,1,1,128,1048576,1,1,1,0,0,0.034674,0,0,1.000000,99.958327
ofs-update,0,1,1,1,128,1048576,1,1,2,0,0,0.008575,0,0,2.000000,99.958327
ofs-update,0,1,1,1,128,1048576,1,1,4,0,0,0.011902,0,0,4.000000,99.958327
ofs-update,0,1,1,1,128,1048576,1,1,8,0,0,0.012012,0,0,8.000000,99.958327
ofs-update,0,1,1,1,128,1048576,1,1,16,0,0,0.010882,0,0,16.000000,99.958327
ofs-update,0,1,1,1,128,1048576,1,1,32,0,0,0.010601,0,0,32.000000,99.958327
ofs-update,0,1,1,1,128,1048576,1,1,64,0,0,0.010754,0,0,64.000000,99.958327
ofs-update,0,1,1,1,128,1048576,1,1,128,0.015137,3342624.000000,0.008736,0,0,128.000000,99.958327
ofs-update,0,1,1,1,128,1048576,1,1,256,0,0,0.009521,0,0,256.000000,99.958327
ofs-update,0,1,1,1,128,1048576,1,1,512,0.016774,5571040.000000,0.011449,0,0,512.000000,99.958327
ofs-update,0,1,1,1,128,1048576,1,1,1024,0.008158,3342624.000000,0.008144,0,0,1024.000000,99.958327
ofs-update,0,1,1,1,128,1048576,1,1,2048,0,0,0.021479,0,0,2048.000000,99.958327
ofs-update,0,1,1,1,128,1048576,1,1,4096,0.007691,3342624.000000,0.038022,0,0,4096.000000,99.958327
ofs-update,0,1,1,1,128,1048576,1,1,8192,0,0,0.075422,0,0,8192.000000,99.958327
ofs-update,0,1,1,1,128,1048576,1,1,16384,0,0,0.140760,0,0,16384.000000,99.958327
ofs-update,0,1,1,1,128,1048576,1,1,32768,0,0,0.265227,0,0,32768.000000,99.958327
