test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,append,append_bytes,insert,insert_bytes,setup,setup_bytes,vl,total_time
ofs-update,1,1,0,1,128,131072,3,1,0,0,0,0,0,10.669414,347793024.000000,0,13.108219
ofs-update,1,1,0,1,128,131072,3,1,128,0.366291,55096800.000000,0.265434,27941760.000000,0,0,128.000000,13.108219
ofs-update,1,1,0,1,128,131072,3,1,512,0.394925,55094400.000000,0.247039,27944640.000000,0,0,512.000000,13.108219
ofs-update,1,1,0,1,128,131072,3,1,1024,0.359164,55110240.000000,0.255133,27948480.000000,0,0,1024.000000,13.108219
ofs-update,1,1,0,1,128,131072,3,1,4096,0.269641,38517760.000000,0.246514,19654880.000000,0,0,4096.000000,13.108219
