test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,append,append_bytes,insert,insert_bytes,setup,setup_bytes,vl,total_time
ofs-update,0,0,1,1,1024,1048576,3,1,0,0,0,0,0,166.866301,17756902016.000000,0,195.628548
ofs-update,0,0,1,1,1024,1048576,3,1,128,4.519371,1896095904.000000,2.707365,948659712.000000,0,0,128.000000,195.628548
ofs-update,0,0,1,1,1024,1048576,3,1,512,4.688864,1896118464.000000,2.424254,948653472.000000,0,0,512.000000,195.628548
ofs-update,0,0,1,1,1024,1048576,3,1,1024,4.442927,1896107904.000000,2.384864,948643392.000000,0,0,1024.000000,195.628548
ofs-update,0,0,1,1,1024,1048576,3,1,4096,4.544135,1896104544.000000,2.383689,948639552.000000,0,0,4096.000000,195.628548
