id,search
0,0.0
1,0.219988
2,0.221597
4,0.229358
8,0.22316
16,0.213728
32,0.293271
64,0.354868
128,0.432852
256,0.705997
512,1.188529
1024,2.043923
2048,3.75739
4096,6.934971
8192,13.592862
16384,25.520216
32768,49.75399
65536,97.958096
131072,181.94318
262144,343.93881
