test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,append,insert,insert_bytes,setup,setup_bytes,vl,total_time
osm,0,1,1,1,128,4194304,23,1,0,0,0,0,1147.647486,3221224704.000000,0,5992.204649
osm,0,1,1,1,128,4194304,23,1,128,2.853967,106.535310,160900608.000000,0,0,128.000000,5992.204649
osm,0,1,1,1,128,4194304,23,1,512,1.951629,264.968216,492555264.000000,0,0,512.000000,5992.204649
osm,0,1,1,1,128,4194304,23,1,1024,2.345976,383.810167,837439488.000000,0,0,1024.000000,5992.204649
osm,0,1,1,1,128,4194304,23,1,4096,2.342987,686.263298,2182608384.000000,0,0,4096.000000,5992.204649
osm,0,1,1,1,128,4194304,23,1,16384,0,1367.796582,4521692160.000000,0,0,16384.000000,5992.204649
osm,0,1,1,1,128,4194304,23,1,65536,0,2025.664423,6279375360.000000,0,0,65536.000000,5992.204649
