test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,append,setup,setup_bytes,total_time
osm,0,1,1,1,128,1048576,21,1,0,0,290.523936,805305600.000000,296.910871
osm,0,1,1,1,128,1048576,21,1,128,1.777263,0,0,296.910871
osm,0,1,1,1,128,1048576,21,1,512,1.556139,0,0,296.910871
osm,0,1,1,1,128,1048576,21,1,1024,1.502251,0,0,296.910871
osm,0,1,1,1,128,1048576,21,1,4096,1.513953,0,0,296.910871
