test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,append,setup,setup_bytes,total_time
osm,1,1,0,1,128,262144,19,1,0,0,11.130926,201325824.000000,11.615870
osm,1,1,0,1,128,262144,19,1,128,0.147776,0,0,11.615870
osm,1,1,0,1,128,262144,19,1,512,0.104562,0,0,11.615870
osm,1,1,0,1,128,262144,19,1,1024,0.098407,0,0,11.615870
osm,1,1,0,1,128,262144,19,1,4096,0.098118,0,0,11.615870
