test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,append,append_bytes,insert,insert_bytes,setup,setup_bytes,total_time
ofs-update,1,1,0,1,128,2097152,1,1,0,0,0,0,0,190.520385,3291855952.000000,196.133527
ofs-update,1,1,0,1,128,2097152,1,1,128,0.509730,15108256.000000,0.052002,3622112.000000,0,0,196.133527
ofs-update,1,1,0,1,128,2097152,1,1,512,0.479511,9959104.000000,0.029365,6408352.000000,0,0,196.133527
ofs-update,1,1,0,1,128,2097152,1,1,1024,0.465056,9950464.000000,0.055597,10866336.000000,0,0,196.133527
ofs-update,1,1,0,1,128,2097152,1,1,4096,0.454022,9973984.000000,0.196360,33156256.000000,0,0,196.133527
