test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,append,append_bytes,insert,insert_bytes,setup,setup_bytes,vl,total_time
ofs-update,0,0,1,1,4096,2048,3,2,0,0,0,0,0,0.154427,68024792.000000,0,3.045121
ofs-update,0,0,1,1,4096,2048,3,2,16,0.103660,23753126.400000,0.047878,5999040.000000,0,0,16.000000,3.045121
ofs-update,0,0,1,1,4096,2048,3,2,128,0.067110,17083392.000000,0.051186,8634096.000000,0,0,128.000000,3.045121
ofs-update,0,0,1,1,4096,2048,3,2,1024,0.067461,17084880.000000,0.072022,17071152.000000,0,0,1024.000000,3.045121
