test,mem,ssd,cached,v,n,c,itime,stime,took
boram,0,1,1,32,67108864,1,0.10312,0,0.412479
boram,0,1,1,32,67108864,2,0.144613,0,0.578453
boram,0,1,1,32,67108864,4,0.146934,0,0.587736
boram,0,1,1,32,67108864,8,0.142775,0,0.5711
boram,0,1,1,32,67108864,16,0.152245,0,0.608982
boram,0,1,1,32,67108864,32,0.137159,0,0.548635
boram,0,1,1,32,67108864,64,0.13015,0,0.520602
boram,0,1,1,32,67108864,128,0.138011,0,0.552046
boram,0,1,1,32,67108864,256,0.12949,0,0.517962
boram,0,1,1,32,67108864,512,0.142857,0,0.571427
boram,0,1,1,32,67108864,1024,0.143054,0,0.572217
boram,0,1,1,32,67108864,2048,0.151737,0,0.60695
boram,0,1,1,32,67108864,4096,0.162867,0,0.651468
boram,0,1,1,32,67108864,8192,0.189449,0,0.757797
boram,0,1,1,32,67108864,16384,0.246305,0,0.985223
boram,0,1,1,32,67108864,32768,0.33172,0,1.32688
boram,0,1,1,32,67108864,65536,0.50997,0,2.03988
boram,0,1,1,32,67108864,131072,0.81249,0,3.24996
boram,0,1,1,32,67108864,262144,1.7407,0,6.96281
boram,0,1,1,32,67108864,524288,3.13014,0,12.5206
boram,0,1,1,32,67108864,1048576,5.60982,0,22.4393
boram,0,1,1,32,67108864,2097152,10.404,0,41.6159
boram,0,1,1,32,67108864,4194304,18.9324,0,75.7295
boram,0,1,1,32,67108864,8388608,28.1151,0,112.461
boram,0,1,1,32,67108864,16777216,40.9007,0,163.603
boram,0,1,1,32,67108864,33554432,48.8859,0,195.544
poram,0,1,1,32,67108864,1,0.113947,0,0.45579
poram,0,1,1,32,67108864,2,0.275159,0,1.10064
poram,0,1,1,32,67108864,4,0.55051,0,2.20204
poram,0,1,1,32,67108864,8,1.11151,0,4.44603
poram,0,1,1,32,67108864,16,2.11626,0,8.46504
poram,0,1,1,32,67108864,32,4.21062,0,16.8425
poram,0,1,1,32,67108864,64,8.26863,0,33.0745
poram,0,1,1,32,67108864,128,16.1644,0,64.6577
poram,0,1,1,32,67108864,256,31.7214,0,126.885
poram,0,1,1,32,67108864,512,61.6641,0,246.656
poram,0,1,1,32,67108864,1024,119.251,0,477.006
poram,0,1,1,32,67108864,2048,234.57,0,938.28
poram,0,1,1,32,67108864,4096,466.162,0,1864.65
poram,0,1,1,32,67108864,8192,929.379,0,3717.52
poram,0,1,1,32,67108864,16384,1836.57,0,7346.28
poram,0,1,1,32,67108864,32768,3639.55,0,14558.2
poram,0,1,1,32,67108864,65536,7174.78,0,28699.1
poram,0,1,1,32,67108864,131072,14227.9,0,56911.6
poram,0,1,1,32,67108864,262144,28426.5,0,113706
