test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,vl,ins,sea,del,total_time
ofs,0,0,1,1,64,1048576,21,1,2,0.0370575,0.026145,0.050092,20.3657
ofs,0,0,1,1,64,1048576,21,1,4,0.048923,0.0220963,0.0499827,20.3657
ofs,0,0,1,1,64,1048576,21,1,8,0.0434143,0.0269811,0.0535797,20.3657
ofs,0,0,1,1,64,1048576,21,1,16,0.0491795,0.0272071,0.0455861,20.3657
ofs,0,0,1,1,64,1048576,21,1,32,0.0443576,0.0242627,0.0493284,20.3657
ofs,0,0,1,1,64,1048576,21,1,64,0.0461612,0.0223623,0.0459689,20.3657
ofs,0,0,1,1,64,1048576,21,1,128,0.0460619,0.0258201,0.0515932,20.3657
ofs,0,0,1,1,64,1048576,21,1,256,0.046281,0.0236113,0.0457516,20.3657
ofs,0,0,1,1,64,1048576,21,1,512,0.0421863,0.024002,0.0468427,20.3657
ofs,0,0,1,1,64,1048576,5,8,1,0.0799515,0.163956,0.105435,28.1998
ofs,0,0,1,1,64,1048576,5,8,2,0.181348,0.289316,0.154866,28.1998
ofs,0,0,1,1,64,1048576,5,8,4,0.3605,0.563375,0.266359,28.1998
ofs,0,0,1,1,64,1048576,5,8,8,0.666034,1.1206,0.479758,28.1998
ofs,0,0,1,1,64,1048576,5,8,16,0.0955833,0.12646,0.0857753,28.1998
ofs,0,0,1,1,64,1048576,5,8,32,0.160105,0.229872,0.131158,28.1998
ofs,0,0,1,1,64,1048576,5,8,64,0.300177,0.444093,0.235127,28.1998
ofs,0,0,1,1,64,1048576,5,8,128,0.533954,0.883964,0.40232,28.1998
ofs,0,0,1,1,64,1048576,5,8,256,0.0870487,0.100507,0.0872126,28.1998
ofs,0,0,1,1,64,1048576,5,8,512,0.0845953,0.111659,0.0867962,28.1998
omap,0,0,1,1,64,1048576,21,1,1,0.0145065,0.0278633,0.0481942,41.0154
omap,0,0,1,1,64,1048576,21,1,2,0.0404945,0.0514672,0.0455345,41.0154
omap,0,0,1,1,64,1048576,21,1,4,0.0601898,0.0984963,0.0944188,41.0154
omap,0,0,1,1,64,1048576,21,1,8,0.141273,0.158431,0.17151,41.0154
omap,0,0,1,1,64,1048576,21,1,16,0.249403,0.320175,0.310879,41.0154
omap,0,0,1,1,64,1048576,21,1,32,0.42595,0.58491,0.579265,41.0154
omap,0,0,1,1,64,1048576,21,1,64,0.80793,1.02369,1.08614,41.0154
omap,0,0,1,1,64,1048576,21,1,128,1.50153,1.95262,2.00952,41.0154
omap,0,0,1,1,64,1048576,21,1,256,2.86558,3.62964,3.67162,41.0154
omap,0,0,1,1,64,1048576,21,1,512,5.35411,6.36921,6.40274,41.0154
ofs,0,0,1,1,64,33554432,6,8,1,0.122999,0.233943,0.157948,451.733
ofs,0,0,1,1,64,33554432,6,8,2,0.263038,0.443019,0.245751,451.733
ofs,0,0,1,1,64,33554432,6,8,4,0.499215,0.866316,0.470818,451.733
ofs,0,0,1,1,64,33554432,6,8,8,0.977514,1.6535,1.10492,451.733
ofs,0,0,1,1,64,33554432,6,8,16,0.135766,0.199748,0.209811,451.733
ofs,0,0,1,1,64,33554432,6,8,32,0.258103,0.378414,0.300155,451.733
ofs,0,0,1,1,64,33554432,6,8,64,0.466688,0.714789,0.503912,451.733
ofs,0,0,1,1,64,33554432,6,8,128,0.849504,1.36652,0.951906,451.733
ofs,0,0,1,1,64,33554432,6,8,256,0.144996,0.188446,0.288241,451.733
ofs,0,0,1,1,64,33554432,6,8,512,0.153004,0.175292,0.331937,451.733
omap,0,0,1,1,64,33554432,26,1,1,0.015153,0.0861203,0.201349,220.866
omap,0,0,1,1,64,33554432,26,1,2,0.0489947,0.0740778,0.27025,220.866
omap,0,0,1,1,64,33554432,26,1,4,0.0874537,0.139305,0.551131,220.866
omap,0,0,1,1,64,33554432,26,1,8,0.178081,0.287199,1.10681,220.866
omap,0,0,1,1,64,33554432,26,1,16,0.351873,0.522929,2.19728,220.866
omap,0,0,1,1,64,33554432,26,1,32,0.67183,0.968667,4.34157,220.866
omap,0,0,1,1,64,33554432,26,1,64,1.46846,1.89395,7.6811,220.866
omap,0,0,1,1,64,33554432,26,1,128,2.56648,3.90538,14.4864,220.866
omap,0,0,1,1,64,33554432,26,1,256,5.05425,10.4273,30.2895,220.866
omap,0,0,1,1,64,33554432,26,1,512,10.1879,60.8233,58.5009,220.866
