test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,vl,ins,sea,del,total_time
ofs,0,0,0,1,64,1024,11,1,1024,0.00537443,0.00726439,0.0113317,0.0719215
ofs,0,0,0,1,64,1024,3,8,1024,0.066187,0.132075,0.0731413,0.285286
omap,0,0,0,1,64,1024,11,1,1024,0.0509341,0.0880036,0.0852112,0.225192
ofs,0,0,0,1,64,32768,16,1,1024,0.0165129,0.0166153,0.0288817,0.571535
ofs,0,0,0,1,64,32768,4,8,1024,0.0882294,0.187461,0.100027,4.52598
omap,0,0,0,1,64,32768,16,1,1024,0.40209,1.69875,1.67538,3.86507
ofs,0,0,0,1,64,1048576,21,1,1024,0.0211968,0.0260579,0.0439007,22.2037
ofs,0,0,0,1,64,1048576,5,8,1024,0.0924416,0.178382,0.111486,27.6731
omap,0,0,0,1,64,1048576,21,1,1024,3.61378,10.0039,11.0938,25.8512
ofs,0,0,0,1,64,33554432,6,8,1024,0.131339,0.306576,0.202213,418.162
